role,feature,mean_day1,mean_day2,std_mean_diff,n_day1,n_day2,abs_std_mean_diff
SEER,Sus_recepient_id_XOR,0.0,0.0,,130,28,
SEER,Dis_id_Wait,0.18666666666666668,0.125,-0.09694295664806014,75,16,0.09694295664806014
SEER,Dis_id_IF,0.0,0.0,,75,16,
SEER,Fact_recepient_id_Fact,0.1935483870967742,0.0,-0.6815542010964778,31,9,0.6815542010964778
SEER,Agr_id_calm,2.0930232558139537,2.142857142857143,0.015452585569474467,43,7,0.015452585569474467
SEER,Fact_recepient_id_calm,2.4193548387096775,0.3333333333333333,-0.5457659779947334,31,9,0.5457659779947334
SEER,Atk,0.0,0.0,,225,225,
SEER,Sus_recepient_id_Fact,0.23076923076923078,0.03571428571428571,-0.4444861707172538,130,28,0.4444861707172538
SEER,Est_id_Admiration,0.0,0.0,,74,15,
SEER,day1_vote_id_Req(V),0.19230769230769232,0.09134615384615384,-0.17144352229698137,208,208,0.17144352229698137
SEER,Agr_id_difficult,0.4186046511627907,0.8571428571428571,0.33912736630196155,43,7,0.33912736630196155
SEER,Fact_recepient_id_Mt,3.4193548387096775,1.5555555555555556,-0.5731910959319424,31,9,0.5731910959319424
SEER,Agr_id_Req(CO),0.0,0.0,,43,7,
SEER,Dis_id_Pers,0.9066666666666666,1.375,0.26668028297620744,75,16,0.26668028297620744
SEER,Est_id_XOR,0.0,0.0,,74,15,
SEER,Sus_recepient_id_Req(V),0.16153846153846155,0.25,0.13464934025958317,130,28,0.13464934025958317
SEER,Agr_id_Vote,0.5116279069767442,0.42857142857142855,-0.1164326093260362,43,7,0.1164326093260362
SEER,Agr_id_confused,0.16279069767441862,0.0,-0.47513883331700507,43,7,0.47513883331700507
SEER,Fact_recepient_id_Admiration,0.0,0.0,,31,9,
SEER,Agr_id_contradiction,0.23255813953488372,0.0,-0.5383633253143041,43,7,0.5383633253143041
SEER,Vote,0.6533333333333333,0.17333333333333334,-0.5686549226487286,225,225,0.5686549226487286
SEER,Admiration,0.0,0.0,,225,225,
SEER,Est_id_contradiction,0.05405405405405406,0.2,0.25564598531543037,74,15,0.25564598531543037
SEER,Est_id_IF,0.02702702702702703,0.0,-0.23410426054389702,74,15,0.23410426054389702
SEER,XOR,0.0,0.0,,225,225,
